Subject,Age,Gender,Ethnicity,Exercise,L_category,Active,L_history,L_duration,L_intensity,LI_1,LI_2r,LI_3,LI_4r,LI_5,LI_6r,LI_7,LI_8r,LI_9,LI_10r,LF_1,LF_2r,LF_3,LF_4r,LF_5,LF_6r,LF_7,LF_8r,LF_9,LF_10r,LM_1,LM_2r,LM_3,LM_4r,LM_5,LM_6r,LM_7,LM_8r,LM_9,LM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1013,23,1,2,1,Game,1,5,5,4,3,5,5,2,4,2,4,3,5,2,4,2,5,3,5,1,5,3,5,1,5,1,5,1,5,1,5,1,5,1,100,98,400.7227273,482.04,2,81.31727273,3,4,3,3,3,2,3.5,3.071428571
1015,19,0,2,1,Listen (Music),0,5,5,3,3,3,3,2,4,2,4,4,3,3,3,2,4,2,4,2,4,2,4,3,3,2,4,3,3,3,4,2,3,2,100,100,529.657449,579.8028283,0,50.1453793,3,4,5,6,7,7.5,9,5.928571429
1016,18,1,4,1,Photography,1,5,2,2,3,4,3,3,3,2,4,4,NA,NA,4,3,4,3,5,2,3,4,4,3,3,3,4,2,3,4,2,4,3,2,99,83.50515464,450.1299,600.633299,15.49484536,150.503399,3,4,3,2,1.5,2.5,1.5,2.5
1017,18,1,2,1,Read,1,5,2,2,4,2,3,2,4,2,2,2,3,4,4,3,3,2,2,3,3,3,3,2,4,3,5,4,5,2,4,2,4,2,100,62.85714286,539.7528571,554.1774286,37.14285714,14.42457143,2,4,5,6,7,8,9,5.857142857
1018,19,0,6,1,View,0,4,2,1,1,5,2,3,1,5,1,5,1,3,1,5,1,5,1,5,1,5,1,5,2,4,1,3,1,5,4,1,1,5,100,97.95918367,498.1424,597.5754082,2.040816327,99.43300816,3,4,4.5,4.5,1,1,4,3.142857143
1019,18,0,3,1,Draw,1,2,2,2,4,4,4,4,4,2,4,4,2,4,4,3,4,4,4,3,4,3,4,2,3,4,4,2,4,4,1,2,4,2,100,98.98989899,549.7872727,681.2516162,1.01010101,131.4643434,3,2,4.5,6,4.5,3.5,2,3.642857143
1020,18,0,3,1,Write,1,5,2,1,3,4,4,3,2,4,3,4,2,3,4,4,4,4,4,3,4,4,3,4,3,3,3,2,4,2,3,3,2,4,100,98,423.4435,482.375,2,58.9315,3,4,5,5,6,8,8,5.571428571
1021,23,1,2,1,Game,1,5,5,1,3,3,4,2,3,3,3,4,3,4,4,3,3,4,2,4,3,4,2,5,4,3,4,3,3,4,4,4,2,2,98.94736842,94.79166667,546.0167368,677.6709375,4.155701754,131.6542007,3,2,4.5,5.5,7,4,7,4.714285714
1022,24,0,2,1,View,0,5,3,2,2,5,4,3,2,5,2,1,2,3,4,4,2,2,2,3,2,3,2,4,2,2,5,2,5,3,5,2,1,4,100,96.96969697,438.8571,489.0541414,3.03030303,50.19704141,3,4,5,6,7,8,8,5.857142857
1023,22,0,2,0,Read,1,5,2,3,5,4,4,4,4,2,2,5,1,5,4,4,4,4,3,3,4,4,3,4,2,2,3,3,5,3,2,3,2,2,100,99,418.6272,488.0142,1,69.387,3,1,4,5,4.5,3,2.5,3.285714286
1024,21,0,3,1,Photography,1,5,3,3,4,5,4,2,2,2,4,2,4,2,4,3,4,2,4,3,4,4,4,3,4,1,4,2,4,1,3,3,1,3,100,85.71428571,374.9979787,425.9165306,14.28571429,50.91855189,3,4,5,6,6.5,6.5,7.5,5.5
1025,22,1,2,1,Photography,1,5,3,1,4,4,4,4,4,1,5,3,4,4,5,3,4,2,4,2,4,4,3,3,3,3,4,4,3,2,3,3,2,2,100,89.8989899,368.8252747,422.3507071,10.1010101,53.52543235,3,4,3,6,6.5,6.5,6,5
1026,23,0,4,1,Cook,1,5,4,2,5,4,2,5,3,1,5,4,2,5,4,3,4,3,4,3,3,5,3,4,5,2,3,5,4,5,5,3,4,3,100,91.4893617,391.4795556,454.8140426,8.510638298,63.334487,3,3,5,3.5,6,4.5,2.5,3.928571429
1027,21,0,3,1,View,0,5,5,1,1,5,3,4,2,5,1,5,1,3,1,4,1,3,1,3,1,3,1,2,4,2,3,2,4,2,4,2,4,4,100,95.91836735,429.6527,496.3947959,4.081632653,66.74209592,3,3.5,2.5,5,2.5,2,1.5,2.857142857
1028,21,1,2,1,Game,1,5,2,2,3,2,2,2,4,2,1,4,3,5,4,2,3,4,3,2,4,2,4,3,1,4,4,5,2,4,2,1,3,2,98.94736842,84.53608247,394.352,457.0756701,14.41128595,62.7236701,3,4,5,6,7,8,9,6
1029,19,0,2,0,View,0,5,5,2,1,3,4,3,1,3,3,4,3,3,2,4,3,2,4,4,1,4,2,4,2,3,3,3,3,2,2,2,3,2,99,97,455.7373,629.7101,2,173.9728,3,0,5,6,5.5,7,2.5,4.142857143
