"Subject","Age","Gender","Ethnicity","Exercise","L_category","Active","L_history","L_duration","L_intensity","LI_1","LI_2","LI_3","LI_4","LI_5","LF_1","LF_2","LF_3","LF_4","LF_5","LM_1","LM_2","LM_3","LM_4","LM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1194",20,1,2,1,"Write",1,5,4,2,3,2,4,3,1,3,4,4,4,3,3,3,4,3,3,38,18,47,21,6,130,111.3913,82.4796,151.0112,110.5979,75.8649,106.26898,255.889322916667,289.564444444444,385.257213953488,809.725372,335.436383333333,0.666666666666667,0.75,0.583333333333333,497.949,531.2125,414.9675,50,90,130,447.949,441.2125,284.9675,391.376333333333
"1195",21,2,3,1,"Travel",1,5,5,2,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,0,3,0,1,7,50.1291,36.0873,58.0368,46.8405,45.1535,47.24944,292.961881632653,341.410571428571,323.978770833333,327.273704672897,303.603688235294,0.166666666666667,0.5,0.75,282.1653,331.8421,348.5467,10,50,90,272.1653,281.8421,258.5467,270.851366666667
"1196",18,1,2,1,"Game",1,5,5,1,3,4,2,3,5,5,4,5,5,5,5,5,4,3,5,4,6,8,9,9,36,61.9954,62.3026,57.7314,61.0834,54.3892,59.5004,291.471096,301.145142857143,361.722041666667,321.268334579439,299.648294736842,0.333333333333333,0.416666666666667,0.833333333333333,298.7214,298.764,365.1628,50,90,130,248.7214,208.764,235.1628,230.882733333333
"1197",23,2,8,1,"Bake",1,5,2,3,3,3,2,4,2,3,2,3,3,2,3,2,2,4,3,1,2,4,0,1,8,51.9758,57.9543,48.5652,48.513,46.3944,50.68054,300.724996,272.642014285714,307.710825,311.940601851852,308.496429411765,0.0833333333333333,0.5,0.833333333333333,248.9845,315.2228,348.503,0,10,50,NA,305.2228,298.503,301.8629
"1198",21,2,2,1,"View",0,5,5,2,1,3,2,4,2,2,1,2,2,1,4,4,4,5,5,3,7,0,2,3,15,64.4554,55.3522,57.8106,57.4926,72.9702,61.6162,274.147458,357.759966666667,395.885739583333,370.643191666667,343.54491,0.25,0.666666666666667,0.75,331.9493,365.1827,381.765,50,90,130,281.9493,275.1827,251.765,269.632333333333
"1199",21,2,3,1,"Read",1,5,2,1,4,3,2,1,1,1,1,2,1,1,2,3,4,2,3,8,7,14,16,10,55,43.5857,46.4801,59.6324,57.3605,53.0696,52.02566,281.121182978723,340.250825,406.32184375,389.913943396226,354.684473684211,0.416666666666667,0.333333333333333,0.833333333333333,348.5632,332.0039,481.3862,90,130,170,258.5632,202.0039,311.3862,257.317766666667
"1200",22,2,3,1,"Listen (Music)",0,5,5,1,1,4,2,1,1,2,3,4,1,1,4,2,4,4,2,1,6,1,5,0,13,55.1457,62.1283,50.3194,68.335,55.2567,58.23702,263.406591489362,271.083966666667,323.069153333333,332.69587037037,297.31765,0.0833333333333333,0.166666666666667,0.75,282.1179,298.6794,348.5095,0,10,50,NA,288.6794,298.5095,293.59445
"1202",19,2,2,1,"Cook",1,5,4,2,4,5,5,5,3,5,4,5,4,5,1,2,3,2,2,0,1,3,2,5,11,71.8643,54.0067,70.7919,50.1711,64.8195,62.3307,277.960539583333,341.409885714286,396.910985416667,366.041288785047,297.433769230769,0.25,0.333333333333333,0.5,315.246,315.3358,348.4897,10,50,90,305.246,265.3358,258.4897,276.357166666667
"1203",23,2,2,1,"Read",1,2,5,1,3,5,4,4,1,4,2,2,3,4,2,4,4,1,3,0,1,0,0,0,1,52.8171,58.9455,47.5819,57.5074,46.918,52.75398,361.3948,410.177571428571,544.956104166667,415.69447037037,381.071088,0.583333333333333,0.75,0.75,431.4966,481.29,481.29,210,250,290,221.4966,231.29,191.29,214.6922
"1204",19,2,3,1,"Read",1,5,2,2,2,4,2,3,1,2,2,3,1,4,3,4,4,2,3,1,0,1,0,0,2,80.6915,57.118,67.5016,70.8732,57.7721,66.79128,490.678912,411.2725,537.061389583333,469.697531481481,379.91887037037,0.666666666666667,0.666666666666667,0.916666666666667,514.612,514.612,680.5303,210,250,290,304.612,264.612,NA,284.612
"1205",19,2,4,1,"Dance",1,2,2,3,3,3,3,3,3,3,4,4,2,1,4,5,4,5,4,1,0,3,3,5,12,60.0332,48.4394,52.8867,52.2598,67.0275,56.12932,305.143683673469,327.7314625,445.004041666667,414.302237962963,343.444117391304,0.5,0.666666666666667,0.75,365.1491,414.8288,431.5061,90,130,170,275.1491,284.8288,261.5061,273.828
"1206",18,1,2,1,"View",0,5,3,1,2,2,2,2,2,2,3,2,2,2,4,4,4,4,3,0,4,8,4,3,19,85.4122,73.3999,73.2329,67.1409,67.4498,73.32714,334.352232653061,330.104733333333,433.291677083333,390.378327777778,328.638636,0.5,0.75,0.833333333333333,348.6538,431.5979,481.4918,90,130,170,258.6538,301.5979,311.4918,290.581166666667
"1207",20,1,2,1,"Instrument (Music)",1,5,1,3,3,3,2,2,3,4,4,4,4,3,2,3,3,2,3,10,45,57,104,92,308,72.6622,87.2846,88.3538,89.0551,95.5745,86.58604,461.737194,321.5739375,434.647075,461.964037962963,365.96189,0.5,0.416666666666667,0.75,431.5729,414.9036,547.6697,170,210,250,261.5729,204.9036,297.6697,254.7154
"1208",20,1,2,1,"Gym",1,3,3,3,2,4,3,3,2,3,3,2,2,2,2,2,2,1,1,2,4,3,0,1,10,57.886,60.623,56.0688,62.3659,60.4964,59.48802,298.711659183673,327.7841125,421.041645652174,467.683009433962,351.550663636364,0.166666666666667,0.25,0.5,331.8211,331.9169,431.4847,50,90,130,281.8211,241.9169,301.4847,275.074233333333
"1209",21,2,8,1,"Read",1,5,2,2,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,0,0,1,3,3,7,62.6806,67.1147,56.6332,70.2374,51.9348,61.72014,408.663704,352.246977777778,460.964635416667,489.670100943396,410.351488888889,0.25,0.666666666666667,0.583333333333333,365.164,481.3257,448.1635,130,170,210,235.164,311.3257,238.1635,261.551066666667
"1210",24,1,2,1,"View",0,5,5,2,2,3,3,2,2,2,2,2,2,2,3,4,4,3,3,6,6,3,1,2,18,51.7403,55.7999,47.1379,60.8912,65.3553,56.18492,281.768904166667,304.9281625,382.74405,353.742697222222,295.58445625,0.0833333333333333,0.583333333333333,0.666666666666667,265.4818,331.8581,331.9492,10,50,90,NA,281.8581,241.9492,261.90365
"1211",19,2,2,1,"View",0,5,3,2,1,3,2,1,1,1,2,3,1,2,4,3,4,4,1,0,3,3,8,4,18,65.6946,55.5976,66.7264,62.8232,57.5011,61.66858,314.655594,354.747875,444.325397916667,452.282605555556,369.541193333333,0.583333333333333,0.166666666666667,0.5,464.7266,348.5023,431.5659,130,170,210,334.7266,178.5023,221.5659,244.9316
"1212",18,2,2,1,"Instrument (Music)",1,5,3,3,4,3,3,3,4,4,5,5,4,4,2,3,4,2,3,6,9,1,3,7,26,48.9382,48.4934,55.6472,49.1616,44.639,49.37588,281.155275510204,358.053928571429,393.18863125,361.327417592593,328.959354545455,0.416666666666667,0.583333333333333,0.833333333333333,331.9708,348.6162,414.9002,50,90,130,281.9708,258.6162,284.9002,275.1624
"1213",22,1,2,1,"View",0,2,3,2,2,3,3,4,2,3,3,2,1,3,3,3,2,3,3,12,20,8,24,7,71,78.9844,72.0392,99.6483,135.2233,66.9775,90.57454,295.677675510204,320.868788888889,387.609541666667,353.281955555556,309.787344444444,0.25,0.666666666666667,0.583333333333333,298.7418,348.5762,348.4818,10,50,90,288.7418,298.5762,258.4818,281.933266666667
